GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A43AA1970,A43AB1970,B37AA1970,B37AB1970,B39AA1970,B39AB1970
"G0600010","1970","California","06","060","Alameda County","001","0010","Alameda",365093,14673,189344,175749,20518,31179
"G0600030","1970","California","06","060","Alpine County","003","0030","Alpine",178,343,111,67,0,0
"G0600050","1970","California","06","060","Amador County","005","0050","Amador",4024,1096,2717,1307,1,4
"G0600070","1970","California","06","060","Butte County","007","0070","Butte",34910,3200,22392,12518,238,238
"G0600090","1970","California","06","060","Calaveras County","009","0090","Calaveras",4709,2328,3151,1558,4,2
"G0600110","1970","California","06","060","Colusa County","011","0110","Colusa",4136,731,2456,1680,17,16
"G0600130","1970","California","06","060","Contra Costa County","013","0130","Contra Costa",172951,5433,120018,52933,5872,5735
"G0600150","1970","California","06","060","Del Norte County","015","0150","Del Norte",4707,634,3033,1674,2,6
"G0600170","1970","California","06","060","El Dorado County","017","0170","El Dorado",15031,8840,9155,5876,1,10
"G0600190","1970","California","06","060","Fresno County","019","0190","Fresno",126752,8868,76166,50586,2499,3205
"G0600210","1970","California","06","060","Glenn County","021","0210","Glenn",5723,576,3799,1924,9,9
"G0600230","1970","California","06","060","Humboldt County","023","0230","Humboldt",32383,2839,19692,12691,25,88
"G0600250","1970","California","06","060","Imperial County","025","0250","Imperial",21030,2371,12164,8866,414,410
"G0600270","1970","California","06","060","Inyo County","027","0270","Inyo",5536,599,3071,2465,0,1
"G0600290","1970","California","06","060","Kern County","029","0290","Kern",101650,8478,60507,41143,2491,2803
"G0600310","1970","California","06","060","Kings County","031","0310","Kings",18293,1313,10156,8137,374,470
"G0600330","1970","California","06","060","Lake County","033","0330","Lake",7679,4482,5638,2041,3,0
"G0600350","1970","California","06","060","Lassen County","035","0350","Lassen",4994,777,3192,1802,33,31
"G0600370","1970","California","06","060","Los Angeles County","037","0370","Los Angeles",2431981,106929,1179943,1252038,90308,149973
"G0600390","1970","California","06","060","Madera County","039","0390","Madera",12756,2032,7882,4874,364,246
"G0600410","1970","California","06","060","Marin County","041","0410","Marin",67606,3635,41154,26452,227,855
"G0600430","1970","California","06","060","Mariposa County","043","0430","Mariposa",2204,885,1304,900,1,4
"G0600450","1970","California","06","060","Mendocino County","045","0450","Mendocino",16538,2376,10512,6026,15,21
"G0600470","1970","California","06","060","Merced County","047","0470","Merced",30464,2244,16854,13610,566,933
"G0600490","1970","California","06","060","Modoc County","049","0490","Modoc",2524,368,1693,831,3,4
"G0600510","1970","California","06","060","Mono County","051","0510","Mono",1382,1700,826,556,0,0
"G0600530","1970","California","06","060","Monterey County","053","0530","Monterey",71232,5126,37408,33824,1163,1503
"G0600550","1970","California","06","060","Napa County","055","0550","Napa",25098,1740,16888,8210,24,18
"G0600570","1970","California","06","060","Nevada County","057","0570","Nevada",9601,2359,6568,3033,3,5
"G0600590","1970","California","06","060","Orange County","059","0590","Orange",436120,26683,281825,154295,1080,1567
"G0600610","1970","California","06","060","Placer County","061","0610","Placer",24557,5884,16397,8160,51,35
"G0600630","1970","California","06","060","Plumas County","063","0630","Plumas",4140,1876,2546,1594,8,50
"G0600650","1970","California","06","060","Riverside County","065","0650","Riverside",150504,19253,96138,54366,3035,2881
"G0600670","1970","California","06","060","Sacramento County","067","0670","Sacramento",202953,9294,125364,77589,5036,4984
"G0600690","1970","California","06","060","San Benito County","069","0690","San Benito",5460,465,2937,2523,4,13
"G0600710","1970","California","06","060","San Bernardino County","071","0710","San Bernardino",212021,39424,135091,76930,3865,3331
"G0600730","1970","California","06","060","San Diego County","073","0730","San Diego",423513,27285,238887,184626,7018,9083
"G0600750","1970","California","06","060","San Francisco County","075","0750","San Francisco",295174,15228,97036,198138,8213,24287
"G0600770","1970","California","06","060","San Joaquin County","077","0770","San Joaquin",92372,4399,56720,35652,2009,2400
"G0600790","1970","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo",33926,3686,20175,13751,105,238
"G0600810","1970","California","06","060","San Mateo County","081","0810","San Mateo",185028,5418,113197,71831,3753,3343
"G0600830","1970","California","06","060","Santa Barbara County","083","0830","Santa Barbara",83929,4877,45146,38783,490,1180
"G0600850","1970","California","06","060","Santa Clara County","085","0850","Santa Clara",322870,13573,199360,123510,2214,2711
"G0600870","1970","California","06","060","Santa Cruz County","087","0870","Santa Cruz",44420,7586,27648,16772,60,166
"G0600890","1970","California","06","060","Shasta County","089","0890","Shasta",25290,2159,16576,8714,95,93
"G0600910","1970","California","06","060","Sierra County","091","0910","Sierra",884,667,560,324,0,3
"G0600930","1970","California","06","060","Siskiyou County","093","0930","Siskiyou",11273,1801,7335,3938,135,43
"G0600950","1970","California","06","060","Solano County","095","0950","Solano",51120,2488,29216,21904,2045,2243
"G0600970","1970","California","06","060","Sonoma County","097","0970","Sonoma",67861,10199,43678,24183,185,304
"G0600990","1970","California","06","060","Stanislaus County","099","0990","Stanislaus",62100,3314,39503,22597,249,296
"G0601010","1970","California","06","060","Sutter County","101","1010","Sutter",13159,943,8037,5122,23,43
"G0601030","1970","California","06","060","Tehama County","103","1030","Tehama",9567,1134,6426,3141,5,12
"G0601050","1970","California","06","060","Trinity County","105","1050","Trinity",2608,1142,1582,1026,0,0
"G0601070","1970","California","06","060","Tulare County","107","1070","Tulare",56490,5414,34855,21635,501,406
"G0601090","1970","California","06","060","Tuolumne County","109","1090","Tuolumne",7498,3750,4932,2566,3,8
"G0601110","1970","California","06","060","Ventura County","111","1110","Ventura",106469,5664,69966,36503,716,810
"G0601130","1970","California","06","060","Yolo County","113","1130","Yolo",28316,1420,15939,12377,148,197
"G0601150","1970","California","06","060","Yuba County","115","1150","Yuba",13074,1128,6481,6593,100,418
"G0800010","1970","Colorado","08","080","Adams County","001","0010","Adams",50024,1433,37603,12421,174,107
"G0800030","1970","Colorado","08","080","Alamosa County","003","0030","Alamosa",3285,393,2123,1162,1,7
"G0800050","1970","Colorado","08","080","Arapahoe County","005","0050","Arapahoe",47529,1396,34481,13048,105,65
"G0800070","1970","Colorado","08","080","Archuleta County","007","0070","Archuleta",817,394,568,249,1,5
"G0800090","1970","Colorado","08","080","Baca County","009","0090","Baca",1938,324,1411,527,0,1
"G0800110","1970","Colorado","08","080","Bent County","011","0110","Bent",1941,185,1286,655,0,1
"G0800130","1970","Colorado","08","080","Boulder County","013","0130","Boulder",40854,3453,25010,15844,40,148
"G0800150","1970","Colorado","08","080","Chaffee County","015","0150","Chaffee",3176,573,2259,917,0,2
"G0800170","1970","Colorado","08","080","Cheyenne County","017","0170","Cheyenne",774,125,561,213,0,2
"G0800190","1970","Colorado","08","080","Clear Creek County","019","0190","Clear Creek",1625,868,1110,515,0,1
