GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A00AA1920,A08AA1920,A08AB1920
"G0800090","1920","Colorado","08","080","Baca County","009","0090","Baca",8721,4702,4019
"G0800110","1920","Colorado","08","080","Bent County","011","0110","Bent",9705,5529,4176
"G0800130","1920","Colorado","08","080","Boulder County","013","0130","Boulder",31861,16029,15832
"G0800150","1920","Colorado","08","080","Chaffee County","015","0150","Chaffee",7753,4128,3625
"G0800170","1920","Colorado","08","080","Cheyenne County","017","0170","Cheyenne",3746,2045,1701
"G0800190","1920","Colorado","08","080","Clear Creek County","019","0190","Clear Creek",2891,1574,1317
"G0800210","1920","Colorado","08","080","Conejos County","021","0210","Conejos",8416,4256,4160
"G0800230","1920","Colorado","08","080","Costilla County","023","0230","Costilla",5032,2635,2397
"G0800250","1920","Colorado","08","080","Crowley County","025","0250","Crowley",6383,3402,2981
"G0800270","1920","Colorado","08","080","Custer County","027","0270","Custer",2172,1214,958
"G0800290","1920","Colorado","08","080","Delta County","029","0290","Delta",13668,7084,6584
"G0800310","1920","Colorado","08","080","Denver County","031","0310","Denver",256491,131906,124585
"G0800330","1920","Colorado","08","080","Dolores County","033","0330","Dolores",1243,678,565
"G0800350","1920","Colorado","08","080","Douglas County","035","0350","Douglas",3517,1877,1640
"G0800370","1920","Colorado","08","080","Eagle County","037","0370","Eagle",3385,1920,1465
"G0800390","1920","Colorado","08","080","Elbert County","039","0390","Elbert",6980,3737,3243
"G0800410","1920","Colorado","08","080","El Paso County","041","0410","El Paso",44027,21047,22980
"G0800430","1920","Colorado","08","080","Fremont County","043","0430","Fremont",17883,9459,8424
"G0800450","1920","Colorado","08","080","Garfield County","045","0450","Garfield",9304,4942,4362
"G0800470","1920","Colorado","08","080","Gilpin County","047","0470","Gilpin",1364,767,597
"G0800490","1920","Colorado","08","080","Grand County","049","0490","Grand",2659,1660,999
"G0800510","1920","Colorado","08","080","Gunnison County","051","0510","Gunnison",5590,3193,2397
"G0800530","1920","Colorado","08","080","Hinsdale County","053","0530","Hinsdale",538,307,231
"G0800550","1920","Colorado","08","080","Huerfano County","055","0550","Huerfano",16879,9308,7571
"G0800570","1920","Colorado","08","080","Jackson County","057","0570","Jackson",1340,794,546
"G0800590","1920","Colorado","08","080","Jefferson County","059","0590","Jefferson",14400,7619,6781
"G0800610","1920","Colorado","08","080","Kiowa County","061","0610","Kiowa",3755,2028,1727
"G0800630","1920","Colorado","08","080","Kit Carson County","063","0630","Kit Carson",8915,4704,4211
"G0800650","1920","Colorado","08","080","Lake County","065","0650","Lake",6630,3642,2988
"G0800670","1920","Colorado","08","080","La Plata County","067","0670","La Plata",11218,5918,5300
"G0800690","1920","Colorado","08","080","Larimer County","069","0690","Larimer",27872,14270,13602
"G0800710","1920","Colorado","08","080","Las Animas County","071","0710","Las Animas",38975,20743,18232
"G0800730","1920","Colorado","08","080","Lincoln County","073","0730","Lincoln",8273,4386,3887
"G0800750","1920","Colorado","08","080","Logan County","075","0750","Logan",18427,9668,8759
"G0800770","1920","Colorado","08","080","Mesa County","077","0770","Mesa",22281,11564,10717
"G0800790","1920","Colorado","08","080","Mineral County","079","0790","Mineral",779,423,356
"G0800810","1920","Colorado","08","080","Moffat County","081","0810","Moffat",5129,2794,2335
"G0800830","1920","Colorado","08","080","Montezuma County","083","0830","Montezuma",6260,3298,2962
"G0800850","1920","Colorado","08","080","Montrose County","085","0850","Montrose",11852,6360,5492
"G0800870","1920","Colorado","08","080","Morgan County","087","0870","Morgan",16124,8411,7713
"G0800890","1920","Colorado","08","080","Otero County","089","0890","Otero",22623,11846,10777
"G0800910","1920","Colorado","08","080","Ouray County","091","0910","Ouray",2620,1481,1139
"G0800930","1920","Colorado","08","080","Park County","093","0930","Park",1977,1181,796
"G0800950","1920","Colorado","08","080","Phillips County","095","0950","Phillips",5499,2940,2559
"G0800970","1920","Colorado","08","080","Pitkin County","097","0970","Pitkin",2707,1434,1273
"G0800990","1920","Colorado","08","080","Prowers County","099","0990","Prowers",13845,7312,6533
"G0801010","1920","Colorado","08","080","Pueblo County","101","1010","Pueblo",57638,29971,27667
