GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B21AA1970,B21AB1970,B21AC1970,B21AD1970,B21AE1970,B21AF1970,B21AG1970,B21AH1970,B21AI1970,B21AJ1970
"G0500150","1970","Arkansas","05","050","Carroll County","015","0150","Carroll",5930,2,2,3,,6345,0,7,12,
"G0500170","1970","Arkansas","05","050","Chicot County","017","0170","Chicot",3993,4539,7,50,,4252,5266,7,50,
"G0500190","1970","Arkansas","05","050","Clark County","019","0190","Clark",8071,2279,9,6,,8614,2542,8,8,
"G0500210","1970","Arkansas","05","050","Clay County","021","0210","Clay",9020,1,5,12,,9722,3,4,4,
"G0500230","1970","Arkansas","05","050","Cleburne County","023","0230","Cleburne",5017,1,0,4,,5318,0,3,6,
"G0500250","1970","Arkansas","05","050","Cleveland County","025","0250","Cleveland",2601,635,1,5,,2692,663,0,8,
"G0500270","1970","Arkansas","05","050","Columbia County","027","0270","Columbia",8130,4310,5,8,,8676,4803,12,8,
"G0500290","1970","Arkansas","05","050","Conway County","029","0290","Conway",6780,1338,4,5,,7140,1527,6,5,
"G0500310","1970","Arkansas","05","050","Craighead County","031","0310","Craighead",24587,729,19,25,,25741,912,29,26,
"G0500330","1970","Arkansas","05","050","Crawford County","033","0330","Crawford",12351,222,24,8,,12757,268,32,15,
"G0500350","1970","Arkansas","05","050","Crittenden County","035","0350","Crittenden",12464,10866,18,33,,12781,11888,15,41,
"G0500370","1970","Arkansas","05","050","Cross County","037","0370","Cross",7000,2667,4,12,,7243,2837,1,19,
"G0500390","1970","Arkansas","05","050","Dallas County","039","0390","Dallas",2957,1822,5,2,,3200,2025,5,6,
"G0500410","1970","Arkansas","05","050","Desha County","041","0410","Desha",5143,3876,2,11,,5388,4328,4,9,
"G0500430","1970","Arkansas","05","050","Drew County","043","0430","Drew",5266,2153,5,16,,5297,2410,2,8,
"G0500450","1970","Arkansas","05","050","Faulkner County","045","0450","Faulkner",13977,1303,0,15,,14719,1532,8,18,
"G0500470","1970","Arkansas","05","050","Franklin County","047","0470","Franklin",5455,120,2,23,,5645,41,5,10,
"G0500490","1970","Arkansas","05","050","Fulton County","049","0490","Fulton",3724,0,1,3,,3965,0,2,4,
"G0500510","1970","Arkansas","05","050","Garland County","051","0510","Garland",23305,2360,27,18,,25591,2768,32,30,
"G0500530","1970","Arkansas","05","050","Grant County","053","0530","Grant",4602,197,2,4,,4682,220,1,3,
"G0500550","1970","Arkansas","05","050","Greene County","055","0550","Greene",11917,5,4,10,,12798,10,10,11,
"G0500570","1970","Arkansas","05","050","Hempstead County","057","0570","Hempstead",6268,3054,1,24,,6652,3281,4,24,
"G0500590","1970","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring",9405,1322,8,7,,9791,1397,12,21,
"G0500610","1970","Arkansas","05","050","Howard County","061","0610","Howard",4371,1156,1,5,,4706,1163,2,8,
"G0500630","1970","Arkansas","05","050","Independence County","063","0630","Independence",10763,214,7,5,,11426,293,9,6,
"G0500650","1970","Arkansas","05","050","Izard County","065","0650","Izard",3597,9,0,3,,3764,3,1,4,
"G0500670","1970","Arkansas","05","050","Jackson County","067","0670","Jackson",8496,1436,5,9,,8896,1596,4,10,
"G0500690","1970","Arkansas","05","050","Jefferson County","069","0690","Jefferson",24681,16289,17,74,,25846,18304,8,110,
"G0500710","1970","Arkansas","05","050","Johnson County","071","0710","Johnson",6501,119,3,19,,6840,120,9,19,
"G0500730","1970","Arkansas","05","050","Lafayette County","073","0730","Lafayette",2793,2034,8,1,,2871,2304,4,3,
"G0500750","1970","Arkansas","05","050","Lawrence County","075","0750","Lawrence",7933,64,2,4,,8222,84,2,9,
"G0500770","1970","Arkansas","05","050","Lee County","077","0770","Lee",3954,5131,10,33,,3977,5737,9,33,
"G0500790","1970","Arkansas","05","050","Lincoln County","079","0790","Lincoln",3940,2876,0,0,,3545,2548,0,4,
"G0500810","1970","Arkansas","05","050","Little River County","081","0810","Little River",3953,1457,8,1,,4164,1599,10,2,
"G0500830","1970","Arkansas","05","050","Logan County","083","0830","Logan",8040,136,7,13,,8431,143,7,12,
"G0500850","1970","Arkansas","05","050","Lonoke County","085","0850","Lonoke",10550,2320,9,2,,10882,2474,4,8,
"G0500870","1970","Arkansas","05","050","Madison County","087","0870","Madison",4732,0,5,0,,4705,1,8,2,
"G0500890","1970","Arkansas","05","050","Marion County","089","0890","Marion",3423,0,6,4,,3555,2,4,6,
"G0500910","1970","Arkansas","05","050","Miller County","091","0910","Miller",12418,3534,15,12,,13308,4064,15,19,
"G0500930","1970","Arkansas","05","050","Mississippi County","093","0930","Mississippi",22432,7880,16,75,,22897,8647,19,94,
"G0500950","1970","Arkansas","05","050","Monroe County","095","0950","Monroe",4268,3181,9,9,,4497,3674,7,12,
"G0500970","1970","Arkansas","05","050","Montgomery County","097","0970","Montgomery",2865,5,1,2,,2941,3,1,3,
"G0500990","1970","Arkansas","05","050","Nevada County","099","0990","Nevada",3231,1601,2,1,,3592,1677,4,3,
"G0501010","1970","Arkansas","05","050","Newton County","101","1010","Newton",2960,1,4,0,,2874,0,2,3,
"G0501030","1970","Arkansas","05","050","Ouachita County","103","1030","Ouachita",9473,5243,2,15,,10269,5866,5,23,
"G0501050","1970","Arkansas","05","050","Perry County","105","1050","Perry",2703,72,0,3,,2770,84,1,1,
"G0501070","1970","Arkansas","05","050","Phillips County","107","1070","Phillips",8890,10193,12,67,,9357,11446,14,67,
"G0501090","1970","Arkansas","05","050","Pike County","109","1090","Pike",4057,189,3,5,,4256,195,2,4,
"G0501110","1970","Arkansas","05","050","Poinsett County","111","1110","Poinsett",11973,1128,13,10,,12502,1177,7,12,
"G0501130","1970","Arkansas","05","050","Polk County","113","1130","Polk",6542,1,13,7,,6716,0,14,4,
"G0501150","1970","Arkansas","05","050","Pope County","115","1150","Pope",13917,295,15,7,,13979,376,10,8,
"G0501170","1970","Arkansas","05","050","Prairie County","117","1170","Prairie",4286,805,3,6,,4268,875,1,5,
"G0501190","1970","Arkansas","05","050","Pulaski County","119","1190","Pulaski",109777,27420,117,237,,118229,30982,128,299,
"G0501210","1970","Arkansas","05","050","Randolph County","121","1210","Randolph",6045,62,10,7,,6424,77,10,10,
"G0501230","1970","Arkansas","05","050","St. Francis County","123","1230","St Francis",7898,6875,7,76,,8183,7683,8,69,
"G0501250","1970","Arkansas","05","050","Saline County","125","1250","Saline",17205,698,14,7,,17487,670,17,9,
"G0501270","1970","Arkansas","05","050","Scott County","127","1270","Scott",4090,0,4,1,,4104,0,4,4,
"G0501290","1970","Arkansas","05","050","Searcy County","129","1290","Searcy",3817,0,8,3,,3897,0,5,1,
"G0501310","1970","Arkansas","05","050","Sebastian County","131","1310","Sebastian",35379,2035,151,56,,39026,2344,162,84,
"G0501330","1970","Arkansas","05","050","Sevier County","133","1330","Sevier",5082,361,12,5,,5385,400,18,9,
"G0501350","1970","Arkansas","05","050","Sharp County","135","1350","Sharp",4051,10,3,13,,4133,10,4,9,
"G0501370","1970","Arkansas","05","050","Stone County","137","1370","Stone",3369,0,1,3,,3463,1,1,0,
"G0501390","1970","Arkansas","05","050","Union County","139","1390","Union",15227,6284,13,18,,16763,7085,17,21,
"G0501410","1970","Arkansas","05","050","Van Buren County","141","1410","Van Buren",4080,23,1,3,,4141,24,2,1,
"G0501430","1970","Arkansas","05","050","Washington County","143","1430","Washington",38028,312,77,122,,38339,307,78,107,
"G0501450","1970","Arkansas","05","050","White County","145","1450","White",18456,617,10,24,,19450,659,13,24,
"G0501470","1970","Arkansas","05","050","Woodruff County","147","1470","Woodruff",3635,1935,1,8,,3856,2120,4,7,
"G0501490","1970","Arkansas","05","050","Yell County","149","1490","Yell",6773,195,6,10,,7016,192,8,8,
"G0600010","1970","California","06","060","Alameda County","001","0010","Alameda",419340,78092,2779,25623,,436638,83190,2909,24613,
"G0600030","1970","California","06","060","Alpine County","003","0030","Alpine",180,1,48,16,,187,0,49,3,
"G0600050","1970","California","06","060","Amador County","005","0050","Amador",5738,318,77,36,,5543,7,83,19,
"G0600070","1970","California","06","060","Butte County","007","0070","Butte",47621,824,438,701,,50601,771,452,561,
"G0600090","1970","California","06","060","Calaveras County","009","0090","Calaveras",6602,134,88,280,,6350,5,83,43,
"G0600110","1970","California","06","060","Colusa County","011","0110","Colusa",5902,45,68,247,,5868,41,64,195,
"G0600130","1970","California","06","060","Contra Costa County","013","0130","Contra Costa",247605,20044,828,6281,,254806,21576,873,6376,
"G0600150","1970","California","06","060","Del Norte County","015","0150","Del Norte",6834,20,358,50,,6878,14,369,57,
"G0600170","1970","California","06","060","El Dorado County","017","0170","El Dorado",21479,44,109,188,,21726,16,121,150,
"G0600190","1970","California","06","060","Fresno County","019","0190","Fresno",181565,9976,1006,9221,,191030,10394,1138,8723,
"G0600210","1970","California","06","060","Glenn County","021","0210","Glenn",8509,34,81,90,,8626,27,107,47,
"G0600230","1970","California","06","060","Humboldt County","023","0230","Humboldt",48272,297,1500,466,,47052,164,1555,386,
"G0600250","1970","California","06","060","Imperial County","025","0250","Imperial",33876,1341,443,1211,,34930,1245,446,1000,
"G0600270","1970","California","06","060","Inyo County","027","0270","Inyo",7189,22,612,60,,7083,2,558,45,
"G0600290","1970","California","06","060","Kern County","029","0290","Kern",148379,9122,1008,4395,,151936,9515,1031,3776,
"G0600310","1970","California","06","060","Kings County","031","0310","Kings",30505,1737,181,998,,28400,1616,176,997,
"G0600330","1970","California","06","060","Lake County","033","0330","Lake",9211,36,162,127,,9733,6,161,112,
"G0600350","1970","California","06","060","Lassen County","035","0350","Lassen",7327,177,182,54,,6845,157,167,51,
"G0600370","1970","California","06","060","Los Angeles County","037","0370","Los Angeles",2907632,362477,11715,119995,,3098867,400367,12794,118228,
"G0600390","1970","California","06","060","Madera County","039","0390","Madera",18692,982,398,590,,18998,991,350,518,
"G0600410","1970","California","06","060","Marin County","041","0410","Marin",97805,3114,198,1413,,99737,1928,184,1659,
"G0600430","1970","California","06","060","Mariposa County","043","0430","Mariposa",2945,26,111,15,,2811,4,90,13,
"G0600450","1970","California","06","060","Mendocino County","045","0450","Mendocino",24578,196,720,228,,24383,95,713,188,
"G0600470","1970","California","06","060","Merced County","047","0470","Merced",48409,2816,187,1160,,48045,2681,169,1162,
"G0600490","1970","California","06","060","Modoc County","049","0490","Modoc",3561,10,91,36,,3639,10,82,40,
"G0600510","1970","California","06","060","Mono County","051","0510","Mono",1977,0,95,13,,1832,0,95,4,
"G0600530","1970","California","06","060","Monterey County","053","0530","Monterey",117988,7364,684,8949,,102310,4784,455,7537,
"G0600550","1970","California","06","060","Napa County","055","0550","Napa",38030,319,105,734,,38920,197,110,725,
"G0600570","1970","California","06","060","Nevada County","057","0570","Nevada",12720,30,58,63,,13343,7,54,71,
"G0600590","1970","California","06","060","Orange County","059","0590","Orange",678426,5306,1926,12032,,703316,4873,1994,12513,
"G0600610","1970","California","06","060","Placer County","061","0610","Placer",37332,227,215,762,,37762,121,198,689,
"G0600630","1970","California","06","060","Plumas County","063","0630","Plumas",5679,106,158,35,,5452,94,147,36,
"G0600650","1970","California","06","060","Riverside County","065","0650","Riverside",209061,10754,1469,3793,,218464,10470,1453,3610,
"G0600670","1970","California","06","060","Sacramento County","067","0670","Sacramento",277566,18192,1296,12968,,288766,18226,1374,13110,
"G0600690","1970","California","06","060","San Benito County","069","0690","San Benito",8627,38,24,305,,8926,25,30,251,
"G0600710","1970","California","06","060","San Bernardino County","071","0710","San Bernardino",317172,15068,1736,4734,,324309,14182,1720,5151,
"G0600730","1970","California","06","060","San Diego County","073","0730","San Diego",647127,33241,3243,19683,,604674,28787,2637,18462,
"G0600750","1970","California","06","060","San Francisco County","075","0750","San Francisco",244106,46767,1453,53354,,267080,49311,1447,52156,
"G0600770","1970","California","06","060","San Joaquin County","077","0770","San Joaquin",126261,7888,621,10200,,129360,7895,597,7386,
"G0600790","1970","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo",51793,1670,268,1875,,47958,615,249,1262,
"G0600810","1970","California","06","060","San Mateo County","081","0810","San Mateo",247435,12967,642,10406,,260250,13118,698,10718,
"G0600830","1970","California","06","060","Santa Barbara County","083","0830","Santa Barbara",122467,3444,529,3871,,127091,2982,479,3461,
"G0600850","1970","California","06","060","Santa Clara County","085","0850","Santa Clara",493950,9184,2025,19515,,509948,8906,2023,19163,
"G0600870","1970","California","06","060","Santa Cruz County","087","0870","Santa Cruz",56145,435,167,2157,,62402,388,193,1903,
"G0600890","1970","California","06","060","Shasta County","089","0890","Shasta",37438,320,636,190,,37855,318,685,198,
"G0600910","1970","California","06","060","Sierra County","091","0910","Sierra",1181,3,17,25,,1095,2,22,20,
"G0600930","1970","California","06","060","Siskiyou County","093","0930","Siskiyou",15858,375,507,115,,15462,326,461,121,
"G0600950","1970","California","06","060","Solano County","095","0950","Solano",74688,8444,731,3639,,70176,8212,317,3734,
"G0600970","1970","California","06","060","Sonoma County","097","0970","Sonoma",95863,1077,773,1649,,102059,1031,850,1583,
"G0600990","1970","California","06","060","Stanislaus County","099","0990","Stanislaus",92493,993,331,1401,,96686,945,355,1302,
"G0601010","1970","California","06","060","Sutter County","101","1010","Sutter",19724,100,95,896,,20072,96,114,838,
"G0601030","1970","California","06","060","Tehama County","103","1030","Tehama",14359,64,138,127,,14518,35,168,108,
"G0601050","1970","California","06","060","Trinity County","105","1050","Trinity",3803,0,161,20,,3483,4,126,18,
"G0601070","1970","California","06","060","Tulare County","107","1070","Tulare",87363,1587,714,3545,,90081,1612,654,2766,
"G0601090","1970","California","06","060","Tuolumne County","109","1090","Tuolumne",11018,242,425,71,,10229,15,123,46,
"G0601110","1970","California","06","060","Ventura County","111","1110","Ventura",179706,3114,558,3594,,181655,3240,592,3971,
