GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BDK001,BDK002,BDK003,BDK004,BDK005,BDK006
"G3400030","1930","New Jersey","340","Bergen","0030","Bergen",177478,178392,4119,4753,184,51
"G3400050","1930","New Jersey","340","Burlington","0050","Burlington",43928,42821,3473,3289,15,15
"G3400070","1930","New Jersey","340","Camden","0070","Camden",117287,118111,8409,8404,80,21
"G3400090","1930","New Jersey","340","Cape May","0090","Cape May",13766,12897,1353,1429,27,14
"G3400110","1930","New Jersey","340","Cumberland","0110","Cumberland",32478,32644,2445,2303,19,6
"G3400130","1930","New Jersey","340","Essex","0130","Essex",382147,390037,28663,31573,970,123
"G3400150","1930","New Jersey","340","Gloucester","0150","Gloucester",33081,31611,3204,2873,27,6
"G3400170","1930","New Jersey","340","Hudson","0170","Hudson",344739,329493,7964,8006,423,105
"G3400190","1930","New Jersey","340","Hunterdon","0190","Hunterdon",17421,16892,191,216,6,2
"G3400210","1930","New Jersey","340","Mercer","0210","Mercer",87931,87158,6233,5716,86,19
"G3400230","1930","New Jersey","340","Middlesex","0230","Middlesex",106681,99471,3238,2657,129,32
"G3400250","1930","New Jersey","340","Monmouth","0250","Monmouth",66501,66687,6796,7101,103,21
"G3400270","1930","New Jersey","340","Morris","0270","Morris",53391,53686,1559,1710,83,16
"G3400290","1930","New Jersey","340","Ocean","0290","Ocean",16490,15291,626,632,25,5
"G3400310","1930","New Jersey","340","Passaic","0310","Passaic",148297,148104,2725,2793,184,26
"G3400330","1930","New Jersey","340","Salem","0330","Salem",16776,15283,2568,2195,7,5
"G3400350","1930","New Jersey","340","Somerset","0350","Somerset",32093,31356,835,793,41,14
"G3400370","1930","New Jersey","340","Sussex","0370","Sussex",14357,13272,64,55,50,32
"G3400390","1930","New Jersey","340","Union","0390","Union",144158,142998,8762,9097,166,28
"G3400410","1930","New Jersey","340","Warren","0410","Warren",24804,24200,155,148,11,1
"G3500010","1930","New Mexico","350","Bernalillo","0010","Bernalillo",20958,21508,282,272,1246,1164
"G3500030","1930","New Mexico","350","Catron","0030","Catron",1263,1021,0,0,519,479
"G3500050","1930","New Mexico","350","Chaves","0050","Chaves",8414,7905,178,184,1533,1335
"G3500070","1930","New Mexico","350","Colfax","0070","Colfax",8828,8268,80,90,1011,880
"G3500090","1930","New Mexico","350","Curry","0090","Curry",7771,7286,41,44,351,316
"G3500110","1930","New Mexico","350","De Baca","0110","De Baca",1072,919,0,0,483,419
"G3500130","1930","New Mexico","350","Dona Ana","0130","Dona Ana",6147,5657,355,294,7812,7190
"G3500150","1930","New Mexico","350","Eddy","0150","Eddy",5542,4897,126,113,2588,2576
"G3500170","1930","New Mexico","350","Grant","0170","Grant",4783,4080,74,50,5093,4970
"G3500190","1930","New Mexico","350","Guadalupe","0190","Guadalupe",3602,3298,2,0,70,55
"G3500210","1930","New Mexico","350","Harding","0210","Harding",2333,2071,0,0,9,8
"G3500230","1930","New Mexico","350","Hidalgo","0230","Hidalgo",1578,1297,8,6,1090,1044
"G3500250","1930","New Mexico","350","Lea","0250","Lea",3376,2686,23,15,39,5
"G3500270","1930","New Mexico","350","Lincoln","0270","Lincoln",2483,1820,10,5,1518,1362
"G3500290","1930","New Mexico","350","Luna","0290","Luna",1937,1801,31,25,1281,1172
"G3500310","1930","New Mexico","350","McKinley","0310","Mckinley",3644,3247,113,87,6869,6683
"G3500330","1930","New Mexico","350","Mora","0330","Mora",5320,4978,2,1,15,6
"G3500350","1930","New Mexico","350","Otero","0350","Otero",3176,2754,54,39,1929,1827
"G3500370","1930","New Mexico","350","Quay","0370","Quay",5593,5049,11,12,94,69
"G3500390","1930","New Mexico","350","Rio Arriba","0390","Rio Arriba",10019,9729,9,1,817,806
"G3500410","1930","New Mexico","350","Roosevelt","0410","Roosevelt",5721,5269,2,1,57,59
"G3500430","1930","New Mexico","350","Sandoval","0430","Sandoval",4218,3857,3,2,1702,1362
"G3500450","1930","New Mexico","350","San Juan","0450","San Juan",3338,3050,1,1,4163,4148
"G3500470","1930","New Mexico","350","San Miguel","0470","San Miguel",11808,11527,23,17,145,116
"G3500490","1930","New Mexico","350","Santa Fe","0490","Santa Fe",9157,9046,59,26,735,544
"G3500510","1930","New Mexico","350","Sierra","0510","Sierra",1582,1220,2,2,1286,1092
"G3500530","1930","New Mexico","350","Socorro","0530","Socorro",4397,3963,14,12,657,568
"G3500550","1930","New Mexico","350","Taos","0550","Taos",6888,6709,8,3,406,380
"G3500570","1930","New Mexico","350","Torrance","0570","Torrance",4866,4306,5,2,77,13
"G3500590","1930","New Mexico","350","Union","0590","Union",5750,5046,13,13,115,99
"G3500610","1930","New Mexico","350","Valencia","0610","Valencia",6184,5743,2,2,2233,2022
"G3600010","1930","New York","360","Albany","0010","Albany",102611,106482,1396,1322,103,39
"G3600030","1930","New York","360","Allegany","0030","Allegany",19238,18610,93,76,2,6
"G3600050","1930","New York","360","Bronx","0050","Bronx",623772,627975,6302,6628,439,142
"G3600070","1930","New York","360","Broome","0070","Broome",72547,73623,391,406,37,18
"G3600090","1930","New York","360","Cattaraugus","0090","Cattaraugus",36088,34867,236,232,527,448
"G3600110","1930","New York","360","Cayuga","0110","Cayuga",32721,31469,322,219,19,1
"G3600130","1930","New York","360","Chautauqua","0130","Chautauqua",63289,62628,246,225,39,30
"G3600150","1930","New York","360","Chemung","0150","Chemung",36840,36923,538,356,20,3
"G3600170","1930","New York","360","Chenango","0170","Chenango",17341,17154,82,85,2,1
"G3600190","1930","New York","360","Clinton","0190","Clinton",24726,21514,368,38,36,5
"G3600210","1930","New York","360","Columbia","0210","Columbia",20503,20035,568,506,2,3
"G3600230","1930","New York","360","Cortland","0230","Cortland",15915,15732,35,26,1,0
"G3600250","1930","New York","360","Delaware","0250","Delaware",21102,19938,62,57,1,3
"G3600270","1930","New York","360","Dutchess","0270","Dutchess",51199,51051,1654,1515,39,4
"G3600290","1930","New York","360","Erie","0290","Erie",373018,370736,8746,7566,1337,1005
"G3600310","1930","New York","360","Essex","0310","Essex",17509,16355,43,39,8,5
"G3600330","1930","New York","360","Franklin","0330","Franklin",22854,21680,36,35,553,536
"G3600350","1930","New York","360","Fulton","0350","Fulton",22818,23473,113,138,15,3
"G3600370","1930","New York","360","Genesee","0370","Genesee",22335,21374,173,166,228,192
"G3600390","1930","New York","360","Greene","0390","Greene",12747,12561,269,227,4,0
"G3600410","1930","New York","360","Hamilton","0410","Hamilton",2204,1719,1,0,3,2
"G3600430","1930","New York","360","Herkimer","0430","Herkimer",32525,31406,31,22,15,7
"G3600450","1930","New York","360","Jefferson","0450","Jefferson",42186,41187,59,56,52,34
"G3600470","1930","New York","360","Kings","0470","Kings",1248279,1240169,32835,36086,2463,569
"G3600490","1930","New York","360","Lewis","0490","Lewis",12231,11185,8,12,9,2
"G3600510","1930","New York","360","Livingston","0510","Livingston",18781,18301,250,223,3,2
"G3600530","1930","New York","360","Madison","0530","Madison",20106,19468,98,80,22,16
"G3600550","1930","New York","360","Monroe","0550","Monroe",207335,213404,1449,1509,137,47
"G3600570","1930","New York","360","Montgomery","0570","Montgomery",29669,30190,98,110,9,0
"G3600590","1930","New York","360","Nassau","0590","Nassau",147075,147672,3523,4437,271,75
"G3600610","1930","New York","360","New York","0610","New York",822040,809716,108229,116441,9083,1803
"G3600630","1930","New York","360","Niagara","0630","Niagara",75953,71703,609,523,309,232
"G3600650","1930","New York","360","Oneida","0650","Oneida",98401,99323,482,454,61,42
"G3600670","1930","New York","360","Onondaga","0670","Onondaga",144902,143666,1089,993,527,429
"G3600690","1930","New York","360","Ontario","0690","Ontario",26931,27037,152,141,9,6
"G3600710","1930","New York","360","Orange","0710","Orange",64347,62849,1712,1396,71,8
"G3600730","1930","New York","360","Orleans","0730","Orleans",14348,14349,34,50,8,6
"G3600750","1930","New York","360","Oswego","0750","Oswego",35220,34337,33,43,9,3
"G3600770","1930","New York","360","Otsego","0770","Otsego",23508,23059,60,67,11,5
"G3600790","1930","New York","360","Putnam","0790","Putnam",7064,6557,57,56,10,0
"G3600810","1930","New York","360","Queens","0810","Queens",528426,531254,8347,10262,644,196
"G3600830","1930","New York","360","Rensselaer","0830","Rensselaer",57818,61171,386,329,63,14
"G3600850","1930","New York","360","Richmond","0850","Richmond",80681,74913,1255,1321,161,15
"G3600870","1930","New York","360","Rockland","0870","Rockland",29168,28098,1194,1097,28,14
"G3600890","1930","New York","360","St Lawrence","0890","St Lawrence",46213,44373,35,23,162,154
"G3600910","1930","New York","360","Saratoga","0910","Saratoga",31639,31034,314,303,18,6
"G3600930","1930","New York","360","Schenectady","0930","Schenectady",63480,60822,364,263,81,11
"G3600950","1930","New York","360","Schoharie","0950","Schoharie",10002,9548,62,55,0,0
"G3600970","1930","New York","360","Schuyler","0970","Schuyler",6555,6245,61,48,0,0
"G3600990","1930","New York","360","Seneca","0990","Seneca",12443,12402,57,80,1,0
"G3601010","1930","New York","360","Steuben","1010","Steuben",41996,40317,206,132,13,7
"G3601030","1930","New York","360","Suffolk","1030","Suffolk",79050,76167,2742,2760,211,125
"G3601050","1930","New York","360","Sullivan","1050","Sullivan",18322,16853,53,38,6,0
"G3601070","1930","New York","360","Tioga","1070","Tioga",12687,12642,77,69,4,1
"G3601090","1930","New York","360","Tompkins","1090","Tompkins",20168,20555,353,353,45,16
"G3601110","1930","New York","360","Ulster","1110","Ulster",39577,39216,798,541,20,3
"G3601130","1930","New York","360","Warren","1130","Warren",16686,17399,36,24,22,7
"G3601150","1930","New York","360","Washington","1150","Washington",23651,22436,325,61,9,0
"G3601170","1930","New York","360","Wayne","1170","Wayne",24391,25469,62,60,7,6
"G3601190","1930","New York","360","Westchester","1190","Westchester",246304,250943,10180,12864,544,112
"G3601210","1930","New York","360","Wyoming","1210","Wyoming",14598,14085,44,32,2,3
"G3601230","1930","New York","360","Yates","1230","Yates",8367,8374,52,53,0,2
"G3700010","1930","North Carolina","370","Alamance","0010","Alamance",16756,17029,4129,4225,1,0
"G3700030","1930","North Carolina","370","Alexander","0030","Alexander",5874,6004,557,487,0,0
"G3700050","1930","North Carolina","370","Alleghany","0050","Alleghany",3422,3421,196,147,0,0
"G3700070","1930","North Carolina","370","Anson","0070","Anson",7178,6923,7327,7920,1,0
"G3700090","1930","North Carolina","370","Ashe","0090","Ashe",10191,10409,221,198,0,0
"G3700110","1930","North Carolina","370","Avery","0110","Avery",5826,5700,153,124,0,0
