GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,AE7AA1990,AE7AB1990,AE7AC1990,AE7AD1990,AE7AE1990,AE7AF1990,AE7AG1990,AE7AH1990,AE7AI1990,AE7AJ1990,AE7AK1990,AE7AL1990
"G0500070","1990","Arkansas","05","050","Benton County","007","0070","Benton County",94158,118,1412,441,11,,810,6,23,14,506,
"G0500090","1990","Arkansas","05","050","Boone County","009","0090","Boone County",27911,5,170,39,1,,127,0,6,5,33,
"G0500110","1990","Arkansas","05","050","Bradley County","011","0110","Bradley County",7936,3641,11,2,12,,76,7,2,0,106,
"G0500130","1990","Arkansas","05","050","Calhoun County","013","0130","Calhoun County",4346,1437,5,7,0,,11,10,0,0,10,
"G0500150","1990","Arkansas","05","050","Carroll County","015","0150","Carroll County",18261,4,140,54,1,,155,2,6,0,31,
"G0500170","1990","Arkansas","05","050","Chicot County","017","0170","Chicot County",6666,8811,22,54,1,,26,48,0,3,82,
"G0500190","1990","Arkansas","05","050","Clark County","019","0190","Clark County",16267,4898,54,76,15,,77,15,1,0,34,
"G0500210","1990","Arkansas","05","050","Clay County","021","0210","Clay County",17976,5,42,14,0,,55,1,3,0,11,
"G0500230","1990","Arkansas","05","050","Cleburne County","023","0230","Cleburne County",19213,6,65,22,0,,79,0,7,0,19,
"G0500250","1990","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",6653,1053,13,13,2,,28,6,0,1,12,
"G0500270","1990","Arkansas","05","050","Columbia County","027","0270","Columbia County",16516,8982,53,62,1,,48,10,0,0,19,
"G0500290","1990","Arkansas","05","050","Conway County","029","0290","Conway County",16071,2860,70,30,1,,68,16,3,0,32,
"G0500310","1990","Arkansas","05","050","Craighead County","031","0310","Craighead County",64225,3764,189,388,4,,224,14,11,5,132,
"G0500330","1990","Arkansas","05","050","Crawford County","033","0330","Crawford County",40654,361,642,371,6,,320,13,16,18,92,
"G0500350","1990","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",27988,21334,89,180,12,,164,67,1,1,103,
"G0500370","1990","Arkansas","05","050","Cross County","037","0370","Cross County",14285,4751,40,38,2,,58,31,0,2,18,
"G0500390","1990","Arkansas","05","050","Dallas County","039","0390","Dallas County",5861,3694,16,10,1,,12,4,0,1,15,
"G0500410","1990","Arkansas","05","050","Desha County","041","0410","Desha County",9448,7110,48,37,3,,52,29,0,0,71,
"G0500430","1990","Arkansas","05","050","Drew County","043","0430","Drew County",12482,4743,26,22,4,,48,11,1,1,31,
"G0500450","1990","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",54405,4771,251,223,15,,239,7,5,3,87,
