GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2010,CL5AA2010
"G0500250","2010","Arkansas","05","050","Cleveland County","025","0250","Cleveland County",2523,7515
"G0500270","2010","Arkansas","05","050","Columbia County","027","0270","Columbia County",6305,18651
"G0500290","2010","Arkansas","05","050","Conway County","029","0290","Conway County",5891,17553
"G0500310","2010","Arkansas","05","050","Craighead County","031","0310","Craighead County",24884,75073
"G0500330","2010","Arkansas","05","050","Crawford County","033","0330","Crawford County",17204,52718
"G0500350","2010","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",13293,42332
"G0500370","2010","Arkansas","05","050","Cross County","037","0370","Cross County",4899,14790
"G0500390","2010","Arkansas","05","050","Dallas County","039","0390","Dallas County",2186,6331
"G0500410","2010","Arkansas","05","050","Desha County","041","0410","Desha County",3588,10712
"G0500430","2010","Arkansas","05","050","Drew County","043","0430","Drew County",4936,14472
"G0500450","2010","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",28867,87777
"G0500470","2010","Arkansas","05","050","Franklin County","047","0470","Franklin County",5011,14973
"G0500490","2010","Arkansas","05","050","Fulton County","049","0490","Fulton County",3529,9964
"G0500510","2010","Arkansas","05","050","Garland County","051","0510","Garland County",26510,74376
"G0500530","2010","Arkansas","05","050","Grant County","053","0530","Grant County",5126,15243
"G0500550","2010","Arkansas","05","050","Greene County","055","0550","Greene County",11678,34695
"G0500570","2010","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",6107,18574
"G0500590","2010","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",8969,26343
"G0500610","2010","Arkansas","05","050","Howard County","061","0610","Howard County",3791,11553
"G0500630","2010","Arkansas","05","050","Independence County","063","0630","Independence County",10009,29621
"G0500650","2010","Arkansas","05","050","Izard County","065","0650","Izard County",3825,10573
"G0500670","2010","Arkansas","05","050","Jackson County","067","0670","Jackson County",4427,13015
"G0500690","2010","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",19416,59223
"G0500710","2010","Arkansas","05","050","Johnson County","071","0710","Johnson County",6824,20746
"G0500730","2010","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",2127,6238
"G0500750","2010","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",4760,13992
"G0500770","2010","Arkansas","05","050","Lee County","077","0770","Lee County",2372,7087
"G0500790","2010","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",3019,9146
"G0500810","2010","Arkansas","05","050","Little River County","081","0810","Little River County",3707,10854
"G0500830","2010","Arkansas","05","050","Logan County","083","0830","Logan County",6095,18142
"G0500850","2010","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",19013,58710
"G0500870","2010","Arkansas","05","050","Madison County","087","0870","Madison County",4428,13250
"G0500890","2010","Arkansas","05","050","Marion County","089","0890","Marion County",4990,13401
"G0500910","2010","Arkansas","05","050","Miller County","091","0910","Miller County",11685,34496
"G0500930","2010","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",12160,37978
"G0500950","2010","Arkansas","05","050","Monroe County","095","0950","Monroe County",2216,6500
"G0500970","2010","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",2767,7793
"G0500990","2010","Arkansas","05","050","Nevada County","099","0990","Nevada County",2540,7385
"G0501010","2010","Arkansas","05","050","Newton County","101","1010","Newton County",2383,6799
"G0501030","2010","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",7245,20963
"G0501050","2010","Arkansas","05","050","Perry County","105","1050","Perry County",2937,8639
"G0501070","2010","Arkansas","05","050","Phillips County","107","1070","Phillips County",5612,17737
"G0501090","2010","Arkansas","05","050","Pike County","109","1090","Pike County",3140,9339
"G0501110","2010","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",6796,20284
"G0501130","2010","Arkansas","05","050","Polk County","113","1130","Polk County",5878,17162
"G0501150","2010","Arkansas","05","050","Pope County","115","1150","Pope County",16155,48075
"G0501170","2010","Arkansas","05","050","Prairie County","117","1170","Prairie County",2539,7152
"G0501190","2010","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",98422,293879
"G0501210","2010","Arkansas","05","050","Randolph County","121","1210","Randolph County",4997,14567
"G0501230","2010","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",6531,20113
"G0501250","2010","Arkansas","05","050","Saline County","125","1250","Saline County",30674,90769
"G0501270","2010","Arkansas","05","050","Scott County","127","1270","Scott County",3027,9321
"G0501290","2010","Arkansas","05","050","Searcy County","129","1290","Searcy County",2352,6611
"G0501310","2010","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",32668,100059
"G0501330","2010","Arkansas","05","050","Sevier County","133","1330","Sevier County",4398,14614
"G0501350","2010","Arkansas","05","050","Sharp County","135","1350","Sharp County",4992,14048
"G0501370","2010","Arkansas","05","050","Stone County","137","1370","Stone County",3590,10072
"G0501390","2010","Arkansas","05","050","Union County","139","1390","Union County",11565,34190
"G0501410","2010","Arkansas","05","050","Van Buren County","141","1410","Van Buren County",4908,13783
"G0501430","2010","Arkansas","05","050","Washington County","143","1430","Washington County",48059,152648
"G0501450","2010","Arkansas","05","050","White County","145","1450","White County",20712,61727
"G0501470","2010","Arkansas","05","050","Woodruff County","147","1470","Woodruff County",1998,5738
"G0501490","2010","Arkansas","05","050","Yell County","149","1490","Yell County",5882,18432
"G0600010","2010","California","06","060","Alameda County","001","0010","Alameda County",352423,1162795
"G0600030","2010","California","06","060","Alpine County","003","0030","Alpine County",297,868
"G0600050","2010","California","06","060","Amador County","005","0050","Amador County",9793,26947
"G0600070","2010","California","06","060","Butte County","007","0070","Butte County",52529,156979
"G0600090","2010","California","06","060","Calaveras County","009","0090","Calaveras County",13039,36678
"G0600110","2010","California","06","060","Colusa County","011","0110","Colusa County",5286,18487
"G0600130","2010","California","06","060","Contra Costa County","013","0130","Contra Costa County",265280,866090
"G0600150","2010","California","06","060","Del Norte County","015","0150","Del Norte County",6379,19444
"G0600170","2010","California","06","060","El Dorado County","017","0170","El Dorado County",49718,148443
"G0600190","2010","California","06","060","Fresno County","019","0190","Fresno County",214445,779360
"G0600210","2010","California","06","060","Glenn County","021","0210","Glenn County",7114,23597
"G0600230","2010","California","06","060","Humboldt County","023","0230","Humboldt County",31079,90300
"G0600250","2010","California","06","060","Imperial County","025","0250","Imperial County",39170,147256
"G0600270","2010","California","06","060","Inyo County","027","0270","Inyo County",4833,13928
"G0600290","2010","California","06","060","Kern County","029","0290","Kern County",191739,691863
"G0600310","2010","California","06","060","Kings County","031","0310","Kings County",31939,114594
"G0600330","2010","California","06","060","Lake County","033","0330","Lake County",16255,47821
"G0600350","2010","California","06","060","Lassen County","035","0350","Lassen County",6800,20243
"G0600370","2010","California","06","060","Los Angeles County","037","0370","Los Angeles County",2194080,7862147
"G0600390","2010","California","06","060","Madera County","039","0390","Madera County",34093,123706
"G0600410","2010","California","06","060","Marin County","041","0410","Marin County",62653,184039
"G0600430","2010","California","06","060","Mariposa County","043","0430","Mariposa County",4948,13717
"G0600450","2010","California","06","060","Mendocino County","045","0450","Mendocino County",21591,65289
"G0600470","2010","California","06","060","Merced County","047","0470","Merced County",58767,219780
"G0600490","2010","California","06","060","Modoc County","049","0490","Modoc County",2611,7321
"G0600510","2010","California","06","060","Mono County","051","0510","Mono County",3415,10191
"G0600530","2010","California","06","060","Monterey County","053","0530","Monterey County",90472,331403
"G0600550","2010","California","06","060","Napa County","055","0550","Napa County",33053,106896
"G0600570","2010","California","06","060","Nevada County","057","0570","Nevada County",27254,76306
"G0600590","2010","California","06","060","Orange County","059","0590","Orange County",708491,2457074
"G0600610","2010","California","06","060","Placer County","061","0610","Placer County",93536,287100
"G0600630","2010","California","06","060","Plumas County","063","0630","Plumas County",5661,15169
"G0600650","2010","California","06","060","Riverside County","065","0650","Riverside County",510241,1840245
"G0600670","2010","California","06","060","Sacramento County","067","0670","Sacramento County",338982,1122561
"G0600690","2010","California","06","060","San Benito County","069","0690","San Benito County",13436,48481
"G0600710","2010","California","06","060","San Bernardino County","071","0710","San Bernardino County",470440,1730100
"G0600730","2010","California","06","060","San Diego County","073","0730","San Diego County",720480,2386869
"G0600750","2010","California","06","060","San Francisco County","075","0750","San Francisco County",151029,470380
"G0600770","2010","California","06","060","San Joaquin County","077","0770","San Joaquin County",161057,577758
"G0600790","2010","California","06","060","San Luis Obispo County","079","0790","San Luis Obispo County",63691,189064
"G0600810","2010","California","06","060","San Mateo County","081","0810","San Mateo County",175607,575554
"G0600830","2010","California","06","060","Santa Barbara County","083","0830","Santa Barbara County",91600,310182
"G0600850","2010","California","06","060","Santa Clara County","085","0850","Santa Clara County",426824,1447360
"G0600870","2010","California","06","060","Santa Cruz County","087","0870","Santa Cruz County",57770,186153
"G0600890","2010","California","06","060","Shasta County","089","0890","Shasta County",46981,138069
"G0600910","2010","California","06","060","Sierra County","091","0910","Sierra County",926,2471
"G0600930","2010","California","06","060","Siskiyou County","093","0930","Siskiyou County",12065,34044
"G0600950","2010","California","06","060","Solano County","095","0950","Solano County",101989,336893
"G0600970","2010","California","06","060","Sonoma County","097","0970","Sonoma County",117114,363649
"G0600990","2010","California","06","060","Stanislaus County","099","0990","Stanislaus County",124032,437165
"G0601010","2010","California","06","060","Sutter County","101","1010","Sutter County",23243,80336
"G0601030","2010","California","06","060","Tehama County","103","1030","Tehama County",16642,51498
"G0601050","2010","California","06","060","Trinity County","105","1050","Trinity County",3620,9865
"G0601070","2010","California","06","060","Tulare County","107","1070","Tulare County",102856,384384
"G0601090","2010","California","06","060","Tuolumne County","109","1090","Tuolumne County",14278,39609
"G0601110","2010","California","06","060","Ventura County","111","1110","Ventura County",197178,684095
"G0601130","2010","California","06","060","Yolo County","113","1130","Yolo County",44101,143855
"G0601150","2010","California","06","060","Yuba County","115","1150","Yuba County",17548,59552
"G0800010","2010","Colorado","08","080","Adams County","001","0010","Adams County",108794,365341
"G0800030","2010","Colorado","08","080","Alamosa County","003","0030","Alamosa County",3793,11629
"G0800050","2010","Colorado","08","080","Arapahoe County","005","0050","Arapahoe County",146128,457876
