GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,A68AA2000,CL5AA2000,B69AA2000,B69AB2000,B69AC2000,B84AA2000,B84AB2000,B84AC2000,B84AD2000,B84AE2000,B84AF2000
"G0500270","2000","Arkansas","05","050","Columbia County","027","0270","Columbia County",6746,20438,1534,11811,2694,11466,10,11456,10581,875,8540
"G0500290","2000","Arkansas","05","050","Conway County","029","0290","Conway County",5733,17165,1419,10506,1555,9162,8,9154,8554,600,6635
"G0500310","2000","Arkansas","05","050","Craighead County","031","0310","Craighead County",22100,65359,4764,35337,10624,42505,16,42489,40069,2420,21912
"G0500330","2000","Arkansas","05","050","Crawford County","033","0330","Crawford County",15160,46583,3623,26866,3276,24762,39,24723,23223,1500,15184
"G0500350","2000","Arkansas","05","050","Crittenden County","035","0350","Crittenden County",13373,43196,3638,22750,3863,22102,12,22090,20561,1529,14684
"G0500370","2000","Arkansas","05","050","Cross County","037","0370","Cross County",5447,16716,1720,9467,1225,8694,6,8688,8025,663,6069
"G0500390","2000","Arkansas","05","050","Dallas County","039","0390","Dallas County",2430,7364,800,4613,576,3874,9,3865,3578,287,3243
"G0500410","2000","Arkansas","05","050","Desha County","041","0410","Desha County",4192,13001,1423,7091,1060,6005,1,6004,5477,527,5468
"G0500430","2000","Arkansas","05","050","Drew County","043","0430","Drew County",5092,15111,1155,8404,1994,8813,7,8806,8022,784,5697
"G0500450","2000","Arkansas","05","050","Faulkner County","045","0450","Faulkner County",22454,68266,2418,35611,12820,45646,90,45556,42479,3077,20693
"G0500470","2000","Arkansas","05","050","Franklin County","047","0470","Franklin County",4965,14854,1306,9063,1285,8103,3,8100,7619,481,5785
"G0500490","2000","Arkansas","05","050","Fulton County","049","0490","Fulton County",3511,9931,1068,6311,864,4872,3,4869,4582,287,4449
"G0500510","2000","Arkansas","05","050","Garland County","051","0510","Garland County",25250,70176,4411,47020,11263,38577,95,38482,36530,1952,32761
"G0500530","2000","Arkansas","05","050","Grant County","053","0530","Grant County",4780,14355,863,8766,1195,7900,17,7883,7550,333,4783
"G0500550","2000","Arkansas","05","050","Greene County","055","0550","Greene County",10703,31556,2795,19045,2670,18017,21,17996,16995,1001,11027
"G0500570","2000","Arkansas","05","050","Hempstead County","057","0570","Hempstead County",6378,19738,1684,11554,1631,11004,0,11004,10292,712,6895
"G0500590","2000","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County",8840,25964,1821,16172,2267,14190,8,14182,13481,701,9434
"G0500610","2000","Arkansas","05","050","Howard County","061","0610","Howard County",3920,11917,1087,7106,1078,6685,0,6685,6355,330,4237
"G0500630","2000","Arkansas","05","050","Independence County","063","0630","Independence County",9670,28566,2154,17433,3118,16364,34,16330,15366,964,10558
"G0500650","2000","Arkansas","05","050","Izard County","065","0650","Izard County",3772,10496,965,7447,1112,5123,0,5123,4912,211,5687
"G0500670","2000","Arkansas","05","050","Jackson County","067","0670","Jackson County",4830,14086,1778,9168,1258,7460,2,7458,6941,517,7396
"G0500690","2000","Arkansas","05","050","Jefferson County","069","0690","Jefferson County",21508,67313,4574,40225,8333,36322,106,36216,33198,3018,28570
"G0500710","2000","Arkansas","05","050","Johnson County","071","0710","Johnson County",6235,18771,2214,10730,1957,10470,21,10449,9633,816,7363
"G0500730","2000","Arkansas","05","050","Lafayette County","073","0730","Lafayette County",2375,7127,796,4353,543,3441,0,3441,3170,271,3268
"G0500750","2000","Arkansas","05","050","Lawrence County","075","0750","Lawrence County",5009,14648,1971,8849,1004,7688,5,7683,7255,428,6360
"G0500770","2000","Arkansas","05","050","Lee County","077","0770","Lee County",2962,9311,1339,6008,577,4148,15,4133,3585,548,5593
"G0500790","2000","Arkansas","05","050","Lincoln County","079","0790","Lincoln County",3129,9718,1198,7606,729,4987,2,4985,4638,347,6689
"G0500810","2000","Arkansas","05","050","Little River County","081","0810","Little River County",3912,11531,857,7259,893,6344,2,6342,5928,414,4224
"G0500830","2000","Arkansas","05","050","Logan County","083","0830","Logan County",6303,18898,2027,11569,1408,9739,17,9722,9205,517,7665
"G0500850","2000","Arkansas","05","050","Lonoke County","085","0850","Lonoke County",15018,46441,2639,25955,4874,26411,680,25731,24727,1004,13062
"G0500870","2000","Arkansas","05","050","Madison County","087","0870","Madison County",4079,12368,1271,7118,938,6675,2,6673,6496,177,4230
"G0500890","2000","Arkansas","05","050","Marion County","089","0890","Marion County",4869,13577,752,9631,1210,6484,19,6465,6137,328,6551
"G0500910","2000","Arkansas","05","050","Miller County","091","0910","Miller County",11080,33446,2180,20382,3228,18119,35,18084,16858,1226,12735
"G0500930","2000","Arkansas","05","050","Mississippi County","093","0930","Mississippi County",13908,43876,4850,23191,3571,22428,2,22426,20462,1964,15846
"G0500950","2000","Arkansas","05","050","Monroe County","095","0950","Monroe County",2733,8403,1012,5033,557,4004,0,4004,3790,214,3701
"G0500970","2000","Arkansas","05","050","Montgomery County","097","0970","Montgomery County",2749,7844,802,5091,571,4008,6,4002,3749,253,3307
"G0500990","2000","Arkansas","05","050","Nevada County","099","0990","Nevada County",2723,8222,603,5268,704,4573,0,4573,4285,288,3127
"G0501010","2000","Arkansas","05","050","Newton County","101","1010","Newton County",2495,7346,873,4254,687,3673,4,3669,3504,165,3097
"G0501030","2000","Arkansas","05","050","Ouachita County","103","1030","Ouachita County",8070,24103,1597,14963,2415,12442,3,12439,11384,1055,9757
"G0501050","2000","Arkansas","05","050","Perry County","105","1050","Perry County",2940,8707,695,5404,760,4661,5,4656,4435,221,3293
"G0501070","2000","Arkansas","05","050","Phillips County","107","1070","Phillips County",6767,22284,2675,10839,1906,10065,3,10062,8929,1133,8901
"G0501090","2000","Arkansas","05","050","Pike County","109","1090","Pike County",3266,9609,872,6011,770,5142,0,5142,4922,220,3718
"G0501110","2000","Arkansas","05","050","Poinsett County","111","1110","Poinsett County",7232,21607,3095,12526,1053,11401,14,11387,10675,712,8364
"G0501130","2000","Arkansas","05","050","Polk County","113","1130","Polk County",5796,17188,1508,10519,1478,8903,9,8894,8380,514,6831
"G0501150","2000","Arkansas","05","050","Pope County","115","1150","Pope County",14998,44975,3033,24751,6513,26181,39,26142,24613,1529,16009
"G0501170","2000","Arkansas","05","050","Prairie County","117","1170","Prairie County",2794,8059,902,5056,592,4270,10,4260,4069,191,3281
"G0501190","2000","Arkansas","05","050","Pulaski County","119","1190","Pulaski County",95679,285245,10206,159391,66324,186483,4082,182401,172712,9689,93987
"G0501210","2000","Arkansas","05","050","Randolph County","121","1210","Randolph County",5242,15350,1914,8999,1294,8122,6,8116,7594,522,6117
"G0501230","2000","Arkansas","05","050","St. Francis County","123","1230","St. Francis County",7227,22942,2438,13989,1746,11203,2,11201,9880,1321,10901
"G0501250","2000","Arkansas","05","050","Saline County","125","1250","Saline County",24489,72000,2866,43800,9130,41764,87,41677,40045,1632,22879
"G0501270","2000","Arkansas","05","050","Scott County","127","1270","Scott County",3123,9307,980,5560,601,4877,12,4865,4674,191,3522
"G0501290","2000","Arkansas","05","050","Searcy County","129","1290","Searcy County",2466,6987,900,4406,486,3274,0,3274,3120,154,3373
"G0501310","2000","Arkansas","05","050","Sebastian County","131","1310","Sebastian County",30723,93294,6647,55571,12383,55925,298,55627,53010,2617,32630
"G0501330","2000","Arkansas","05","050","Sevier County","133","1330","Sevier County",4226,13462,1663,7258,907,7120,12,7108,6774,334,4713
"G0501350","2000","Arkansas","05","050","Sharp County","135","1350","Sharp County",5142,14365,1366,9667,1261,6424,2,6422,6012,410,7426
"G0501370","2000","Arkansas","05","050","Stone County","137","1370","Stone County",3463,9765,1230,6097,792,4575,4,4571,4372,199,4634
