GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA125,B79AA125M
"G0400030","2008-2012","Arizona","04","040","Cochise County","003","0030","Cochise County, Arizona",45505,1585
"G0400050","2008-2012","Arizona","04","040","Coconino County","005","0050","Coconino County, Arizona",48320,1916
"G0400070","2008-2012","Arizona","04","040","Gila County","007","0070","Gila County, Arizona",38504,1609
"G0400090","2008-2012","Arizona","04","040","Graham County","009","0090","Graham County, Arizona",44421,2884
"G0400110","2008-2012","Arizona","04","040","Greenlee County","011","0110","Greenlee County, Arizona",49692,5048
"G0400120","2008-2012","Arizona","04","040","La Paz County","012","0120","La Paz County, Arizona",35093,4299
"G0400130","2008-2012","Arizona","04","040","Maricopa County","013","0130","Maricopa County, Arizona",54385,329
"G0400150","2008-2012","Arizona","04","040","Mohave County","015","0150","Mohave County, Arizona",39383,904
"G0400170","2008-2012","Arizona","04","040","Navajo County","017","0170","Navajo County, Arizona",37683,2027
"G0400190","2008-2012","Arizona","04","040","Pima County","019","0190","Pima County, Arizona",46443,508
"G0400210","2008-2012","Arizona","04","040","Pinal County","021","0210","Pinal County, Arizona",50164,1232
"G0400230","2008-2012","Arizona","04","040","Santa Cruz County","023","0230","Santa Cruz County, Arizona",37692,2712
"G0400250","2008-2012","Arizona","04","040","Yavapai County","025","0250","Yavapai County, Arizona",43652,1173
"G0400270","2008-2012","Arizona","04","040","Yuma County","027","0270","Yuma County, Arizona",41156,1168
"G0500010","2008-2012","Arkansas","05","050","Arkansas County","001","0010","Arkansas County, Arkansas",39883,2848
"G0500030","2008-2012","Arkansas","05","050","Ashley County","003","0030","Ashley County, Arkansas",38069,3113
"G0500050","2008-2012","Arkansas","05","050","Baxter County","005","0050","Baxter County, Arkansas",35209,1529
"G0500070","2008-2012","Arkansas","05","050","Benton County","007","0070","Benton County, Arkansas",53515,1215
"G0500090","2008-2012","Arkansas","05","050","Boone County","009","0090","Boone County, Arkansas",38364,2088
"G0500110","2008-2012","Arkansas","05","050","Bradley County","011","0110","Bradley County, Arkansas",32321,4133
"G0500130","2008-2012","Arkansas","05","050","Calhoun County","013","0130","Calhoun County, Arkansas",31425,2890
"G0500150","2008-2012","Arkansas","05","050","Carroll County","015","0150","Carroll County, Arkansas",35558,2243
"G0500170","2008-2012","Arkansas","05","050","Chicot County","017","0170","Chicot County, Arkansas",25188,3427
"G0500190","2008-2012","Arkansas","05","050","Clark County","019","0190","Clark County, Arkansas",32393,2297
"G0500210","2008-2012","Arkansas","05","050","Clay County","021","0210","Clay County, Arkansas",32695,2224
"G0500230","2008-2012","Arkansas","05","050","Cleburne County","023","0230","Cleburne County, Arkansas",39410,2737
"G0500250","2008-2012","Arkansas","05","050","Cleveland County","025","0250","Cleveland County, Arkansas",38060,4769
"G0500270","2008-2012","Arkansas","05","050","Columbia County","027","0270","Columbia County, Arkansas",34895,2648
"G0500290","2008-2012","Arkansas","05","050","Conway County","029","0290","Conway County, Arkansas",32625,2706
"G0500310","2008-2012","Arkansas","05","050","Craighead County","031","0310","Craighead County, Arkansas",41054,1209
"G0500330","2008-2012","Arkansas","05","050","Crawford County","033","0330","Crawford County, Arkansas",39981,1726
"G0500350","2008-2012","Arkansas","05","050","Crittenden County","035","0350","Crittenden County, Arkansas",36521,1817
"G0500370","2008-2012","Arkansas","05","050","Cross County","037","0370","Cross County, Arkansas",39665,2978
"G0500390","2008-2012","Arkansas","05","050","Dallas County","039","0390","Dallas County, Arkansas",30309,4212
"G0500410","2008-2012","Arkansas","05","050","Desha County","041","0410","Desha County, Arkansas",29504,3540
"G0500430","2008-2012","Arkansas","05","050","Drew County","043","0430","Drew County, Arkansas",32087,3870
"G0500450","2008-2012","Arkansas","05","050","Faulkner County","045","0450","Faulkner County, Arkansas",49008,1967
"G0500470","2008-2012","Arkansas","05","050","Franklin County","047","0470","Franklin County, Arkansas",35918,4912
"G0500490","2008-2012","Arkansas","05","050","Fulton County","049","0490","Fulton County, Arkansas",35059,3969
"G0500510","2008-2012","Arkansas","05","050","Garland County","051","0510","Garland County, Arkansas",38680,1498
"G0500530","2008-2012","Arkansas","05","050","Grant County","053","0530","Grant County, Arkansas",49063,5855
"G0500550","2008-2012","Arkansas","05","050","Greene County","055","0550","Greene County, Arkansas",38481,2078
"G0500570","2008-2012","Arkansas","05","050","Hempstead County","057","0570","Hempstead County, Arkansas",31193,3496
"G0500590","2008-2012","Arkansas","05","050","Hot Spring County","059","0590","Hot Spring County, Arkansas",39652,2137
"G0500610","2008-2012","Arkansas","05","050","Howard County","061","0610","Howard County, Arkansas",35236,3628
"G0500630","2008-2012","Arkansas","05","050","Independence County","063","0630","Independence County, Arkansas",34374,1883
"G0500650","2008-2012","Arkansas","05","050","Izard County","065","0650","Izard County, Arkansas",31011,2055
"G0500670","2008-2012","Arkansas","05","050","Jackson County","067","0670","Jackson County, Arkansas",31692,3264
"G0500690","2008-2012","Arkansas","05","050","Jefferson County","069","0690","Jefferson County, Arkansas",37561,1613
