GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,NAME,B79AA2000
"G1200450","2000","Florida","12","120","Gulf County","045","0450","Gulf County",30276
"G1200470","2000","Florida","12","120","Hamilton County","047","0470","Hamilton County",25638
"G1200490","2000","Florida","12","120","Hardee County","049","0490","Hardee County",30183
"G1200510","2000","Florida","12","120","Hendry County","051","0510","Hendry County",33592
"G1200530","2000","Florida","12","120","Hernando County","053","0530","Hernando County",32572
"G1200550","2000","Florida","12","120","Highlands County","055","0550","Highlands County",30160
"G1200570","2000","Florida","12","120","Hillsborough County","057","0570","Hillsborough County",40663
"G1200590","2000","Florida","12","120","Holmes County","059","0590","Holmes County",27923
"G1200610","2000","Florida","12","120","Indian River County","061","0610","Indian River County",39635
"G1200630","2000","Florida","12","120","Jackson County","063","0630","Jackson County",29744
"G1200650","2000","Florida","12","120","Jefferson County","065","0650","Jefferson County",32998
"G1200670","2000","Florida","12","120","Lafayette County","067","0670","Lafayette County",30651
"G1200690","2000","Florida","12","120","Lake County","069","0690","Lake County",36903
"G1200710","2000","Florida","12","120","Lee County","071","0710","Lee County",40319
"G1200730","2000","Florida","12","120","Leon County","073","0730","Leon County",37517
"G1200750","2000","Florida","12","120","Levy County","075","0750","Levy County",26959
"G1200770","2000","Florida","12","120","Liberty County","077","0770","Liberty County",28840
